filename,compound_name,area
230810_Poo_G5_NFEX_Full2.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",2102872.6338056116
230810_Poo_G5_NFEX_Full2.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",63863.116504383346
230810_Poo_G5_NFEX_Full2.mzML,"Trimethylamine N-Oxide 1(15N), 0(13C)",32548.630985712283
230810_Poo_G5_NFEX_Full3.mzML,"Carnitine 0(15N), 0(13C)",750590.5402774776
230810_Poo_G5_NFEX_Full3.mzML,"Carnitine 0(15N), 1(13C)",54527.072369294954
230810_Poo_G5_NFEX_Full3.mzML,"Carnitine 1(15N), 0(13C)",22148.651388608687
230810_Poo_G5_NFEX_Full3.mzML,"Choline 0(15N), 0(13C)",25610.970891084013
230810_Poo_G5_NFEX_Full3.mzML,"Choline 0(15N), 1(13C)",0
230810_Poo_G5_NFEX_Full3.mzML,"Dimethylglycine 0(15N), 0(13C)",2073705.5591568053
230810_Poo_G5_NFEX_Full3.mzML,"Dimethylglycine 0(15N), 1(13C)",84577.43378572096
230810_Poo_G5_NFEX_Full3.mzML,"Dimethylglycine 1(15N), 0(13C)",17420.758189542677
230810_Poo_G5_NFEX_Full3.mzML,"Dimethylglycine 1(15N), 1(13C)",0
230810_Poo_G5_NFEX_Full3.mzML,"Ectoine 0(15N), 0(13C)",318290.6527782561
230810_Poo_G5_NFEX_Full3.mzML,"Ectoine 0(15N), 1(13C)",17540.831497517396
230810_Poo_G5_NFEX_Full3.mzML,"Ectoine 1(15N), 0(13C)",15640.339876739046
230810_Poo_G5_NFEX_Full3.mzML,"Ectoine 2(15N), 0(13C)",3981.1127708339636
230810_Poo_G5_NFEX_Full3.mzML,"Glycine 0(15N), 0(13C)",63695.47366432009
230810_Poo_G5_NFEX_Full3.mzML,"Glycine 1(15N), 0(13C)",19251.85987271635
230810_Poo_G5_NFEX_Full3.mzML,"Lysine 0(15N), 0(13C)",38934.44256957258
230810_Poo_G5_NFEX_Full3.mzML,"Lysine 0(15N), 1(13C)",4350.944895671891
230810_Poo_G5_NFEX_Full3.mzML,"Lysine 1(15N), 0(13C)",3853.0746066299243
230810_Poo_G5_NFEX_Full3.mzML,"Lysine 2(15N), 0(13C)",3259.9958480942823
230810_Poo_G5_NFEX_Full3.mzML,"Proline 0(15N), 0(13C)",887171.1436947122
230810_Poo_G5_NFEX_Full3.mzML,"Proline 0(15N), 1(13C)",43075.00712167295
230810_Poo_G5_NFEX_Full3.mzML,"Proline 1(15N), 0(13C)",180760.11083578732
230810_Poo_G5_NFEX_Full3.mzML,"Proline 1(15N), 1(13C)",8609.83060666496
230810_Poo_G5_NFEX_Full3.mzML,"Proline Betaine 0(15N), 0(13C)",496357.42116239166
230810_Poo_G5_NFEX_Full3.mzML,"Proline Betaine 0(15N), 1(13C)",32987.18268981259
230810_Poo_G5_NFEX_Full3.mzML,"Proline Betaine 1(15N), 0(13C)",0
230810_Poo_G5_NFEX_Full3.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",1864583.144812758
230810_Poo_G5_NFEX_Full3.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",57420.78604501034
230810_Poo_G5_NFEX_Full3.mzML,"Trimethylamine N-Oxide 1(15N), 0(13C)",28251.690264294786
230810_Poo_G5_NFEX_Full4.mzML,"Carnitine 0(15N), 0(13C)",749755.1004374665
230810_Poo_G5_NFEX_Full4.mzML,"Carnitine 0(15N), 1(13C)",53592.04117132005
230810_Poo_G5_NFEX_Full4.mzML,"Carnitine 1(15N), 0(13C)",22577.764695768226
230810_Poo_G5_NFEX_Full4.mzML,"Choline 0(15N), 0(13C)",28404.95450164799
230810_Poo_G5_NFEX_Full4.mzML,"Dimethylglycine 0(15N), 0(13C)",2659566.0153100607
230810_Poo_G5_NFEX_Full4.mzML,"Dimethylglycine 0(15N), 1(13C)",109955.17844986678
230810_Poo_G5_NFEX_Full4.mzML,"Dimethylglycine 1(15N), 0(13C)",18546.344089685947
230810_Poo_G5_NFEX_Full4.mzML,"Ectoine 0(15N), 0(13C)",311804.2800683883
230810_Poo_G5_NFEX_Full4.mzML,"Ectoine 0(15N), 1(13C)",20512.7628987869
230810_Poo_G5_NFEX_Full4.mzML,"Ectoine 1(15N), 0(13C)",2982.414844269037
230810_Poo_G5_NFEX_Full4.mzML,"Ectoine 2(15N), 0(13C)",2739.8687148130866
230810_Poo_G5_NFEX_Full4.mzML,"Glycine 0(15N), 0(13C)",90582.602974658
230810_Poo_G5_NFEX_Full4.mzML,"Glycine 0(15N), 1(13C)",426.4317037666106
230810_Poo_G5_NFEX_Full4.mzML,"Glycine 1(15N), 0(13C)",26565.780077901356
230810_Poo_G5_NFEX_Full4.mzML,"Lysine 0(15N), 0(13C)",46394.59818737107
230810_Poo_G5_NFEX_Full4.mzML,"Lysine 0(15N), 1(13C)",1416.8189713549882
230810_Poo_G5_NFEX_Full4.mzML,"Lysine 1(15N), 0(13C)",3978.5505195722844
230810_Poo_G5_NFEX_Full4.mzML,"Lysine 2(15N), 0(13C)",3645.013052704572
230810_Poo_G5_NFEX_Full4.mzML,"Proline 0(15N), 0(13C)",1001617.2942766942
230810_Poo_G5_NFEX_Full4.mzML,"Proline 0(15N), 1(13C)",49735.235825780524
230810_Poo_G5_NFEX_Full4.mzML,"Proline 1(15N), 0(13C)",205632.50350522768
230810_Poo_G5_NFEX_Full4.mzML,"Proline 1(15N), 1(13C)",10160.871081588959
230810_Poo_G5_NFEX_Full4.mzML,"Proline Betaine 0(15N), 0(13C)",498066.3958965354
230810_Poo_G5_NFEX_Full4.mzML,"Proline Betaine 0(15N), 1(13C)",34180.73240168923
230810_Poo_G5_NFEX_Full4.mzML,"Proline Betaine 1(15N), 0(13C)",0
230810_Poo_G5_NFEX_Full4.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",1860314.0490589866
230810_Poo_G5_NFEX_Full4.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",55075.84206849389
230810_Poo_G5_NFEX_Full4.mzML,"Trimethylamine N-Oxide 1(15N), 0(13C)",25934.651126439145
230810_Poo_G5_NFEX_Full5.mzML,"Carnitine 0(15N), 0(13C)",680533.943574661
230810_Poo_G5_NFEX_Full5.mzML,"Carnitine 0(15N), 1(13C)",48444.48040254665
230810_Poo_G5_NFEX_Full5.mzML,"Carnitine 1(15N), 0(13C)",20803.81595823592
230810_Poo_G5_NFEX_Full5.mzML,"Choline 0(15N), 0(13C)",25205.301000736807
230810_Poo_G5_NFEX_Full5.mzML,"Dimethylglycine 0(15N), 0(13C)",2209663.622470394
230810_Poo_G5_NFEX_Full5.mzML,"Dimethylglycine 0(15N), 1(13C)",89361.29517614919
230810_Poo_G5_NFEX_Full5.mzML,"Dimethylglycine 1(15N), 0(13C)",18278.71749072502
230810_Poo_G5_NFEX_Full5.mzML,"Ectoine 0(15N), 0(13C)",308246.0013253313
230810_Poo_G5_NFEX_Full5.mzML,"Ectoine 0(15N), 1(13C)",20182.780066325093
230810_Poo_G5_NFEX_Full5.mzML,"Ectoine 1(15N), 0(13C)",6082.752219403076
230810_Poo_G5_NFEX_Full5.mzML,"Ectoine 2(15N), 0(13C)",4252.36040160555
230810_Poo_G5_NFEX_Full5.mzML,"Glycine 0(15N), 0(13C)",60660.63412680026
230810_Poo_G5_NFEX_Full5.mzML,"Glycine 1(15N), 0(13C)",15255.846535166982
230810_Poo_G5_NFEX_Full5.mzML,"Lysine 0(15N), 0(13C)",20983.83130058349
230810_Poo_G5_NFEX_Full5.mzML,"Lysine 2(15N), 0(13C)",1916.409300410172
230810_Poo_G5_NFEX_Full5.mzML,"Proline 0(15N), 0(13C)",882599.0369335671
230810_Poo_G5_NFEX_Full5.mzML,"Proline 0(15N), 1(13C)",43954.76830937815
230810_Poo_G5_NFEX_Full5.mzML,"Proline 1(15N), 0(13C)",181593.6365605123
