compound name,mz,charge,rt
"Guanine 2(15N), 3(13C)",157.061365,1,8.18
"Guanine 2(15N), 4(13C)",158.06472,1,8.18
"Guanine 2(15N), 5(13C)",159.068075,1,8.18
"Guanine 3(15N), 0(13C)",155.0483,1,8.18
"Guanine 3(15N), 1(13C)",156.051655,1,8.18
"Guanine 3(15N), 2(13C)",157.05501,1,8.18
"Guanine 3(15N), 3(13C)",158.058365,1,8.18
"Guanine 3(15N), 4(13C)",159.06172,1,8.18
"Guanine 3(15N), 5(13C)",160.065075,1,8.18
"Guanine 4(15N), 0(13C)",156.0453,1,8.18
"Guanine 4(15N), 1(13C)",157.048655,1,8.18
"Guanine 4(15N), 2(13C)",158.05201,1,8.18
"Guanine 4(15N), 3(13C)",159.055365,1,8.18
"Guanine 4(15N), 4(13C)",160.05872,1,8.18
"Guanine 4(15N), 5(13C)",161.062075,1,8.18
"Guanine 5(15N), 0(13C)",157.0424,1,8.18
"Guanine 5(15N), 1(13C)",158.045755,1,8.18
"Guanine 5(15N), 2(13C)",159.04911,1,8.18
"Guanine 5(15N), 3(13C)",160.052465,1,8.18
"Guanine 5(15N), 4(13C)",161.05582,1,8.18
"Guanine 5(15N), 5(13C)",162.059175,1,8.18
