filename,compound_name,area,cmpd_type,samp_type,day
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 0(13C)",2000539648,Non-IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 0(13C)",2554297,Non-IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 0(13C)",2426460672,Non-IS,Std,NA
230831_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 0(13C)",1229010,Non-IS,Std,NA
230831_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 0(13C)",2845201,Non-IS,Std,NA
230831_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 0(13C)",2340571,Non-IS,Std,NA
230831_Poo_G5_NFEX-CatEx_Full1,"Glycine betaine 0(15N), 0(13C)",1848810,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full2,"Glycine betaine 0(15N), 0(13C)",2143928,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full3,"Glycine betaine 0(15N), 0(13C)",2202593,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full4,"Glycine betaine 0(15N), 0(13C)",7460055,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full5,"Glycine betaine 0(15N), 0(13C)",138991312,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full6,"Glycine betaine 0(15N), 0(13C)",10234147,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full7,"Glycine betaine 0(15N), 0(13C)",4452559,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full8,"Glycine betaine 0(15N), 0(13C)",4280921,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full9,"Glycine betaine 0(15N), 0(13C)",8414861,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full10,"Glycine betaine 0(15N), 0(13C)",7231926,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full11,"Glycine betaine 0(15N), 0(13C)",5296567,Non-IS,Poo,NA
230831_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 0(15N), 0(13C)",942518,Non-IS,Smp,0
230831_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 0(15N), 0(13C)",2725504,Non-IS,Smp,0
230831_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 0(15N), 0(13C)",1799650,Non-IS,Smp,0
230831_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",301626,Non-IS,Smp,6
230831_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",10359510,Non-IS,Smp,6
230831_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",5465461,Non-IS,Smp,6
230831_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",198689264,Non-IS,Smp,6
230831_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",381306,Non-IS,Smp,6
230831_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",10290348,Non-IS,Smp,6
230831_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",2526102,Non-IS,Smp,6
230831_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",167618112,Non-IS,Smp,6
230831_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",5188278,Non-IS,Smp,6
230831_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",1236458,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",485708,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",106325840,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",4982823,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",1579196,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",5087320,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",2350413,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",7260290,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",2716875,Non-IS,Smp,12
230831_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",5579438,Non-IS,Smp,24
