filename,compound_name,area,cmpd_type,samp_type,day
230810_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 0(13C)",2043442688,Non-IS,Std,NA
230810_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 0(13C)",1617281152,Non-IS,Std,NA
230810_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 0(13C)",1606880256,Non-IS,Std,NA
230810_Blk_G5_NFEX_T24_NH4_Blk_A,"Glycine betaine 0(15N), 0(13C)",62985116,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_NH4_Blk_B,"Glycine betaine 0(15N), 0(13C)",93630984,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_NO3_Blk_A,"Glycine betaine 0(15N), 0(13C)",81107352,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_Urea_Blk_A,"Glycine betaine 0(15N), 0(13C)",212362080,Non-IS,Blk,24
230810_Poo_G5_NFEX_Full1,"Glycine betaine 0(15N), 0(13C)",2644737536,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full2,"Glycine betaine 0(15N), 0(13C)",3206946560,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full3,"Glycine betaine 0(15N), 0(13C)",2466749440,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full4,"Glycine betaine 0(15N), 0(13C)",2588992768,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full5,"Glycine betaine 0(15N), 0(13C)",2593657088,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full6,"Glycine betaine 0(15N), 0(13C)",2496867584,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full7,"Glycine betaine 0(15N), 0(13C)",2625291264,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full8,"Glycine betaine 0(15N), 0(13C)",2500962560,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full9,"Glycine betaine 0(15N), 0(13C)",2461441792,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full10,"Glycine betaine 0(15N), 0(13C)",2538312960,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full11,"Glycine betaine 0(15N), 0(13C)",2483552000,Non-IS,Poo,NA
230810_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 0(15N), 0(13C)",4993295360,Non-IS,Smp,0
230810_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 0(15N), 0(13C)",4907020800,Non-IS,Smp,0
230810_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 0(15N), 0(13C)",5126711296,Non-IS,Smp,0
230810_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",2424187648,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",2905317120,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",2876896000,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",2915152384,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",2493400064,Non-IS,Smp,6
230810_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",3219306496,Non-IS,Smp,6
