compound_name,filename,nM,hour
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_4_B,0.09481650035878796,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_4_C,0.40151190275037724,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_5_A,0.28669158611763434,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_5_B,0.06126908927167638,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_5_C,0.048905878735470865,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_1,0.013668703384410721,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_2,0.038233830551714656,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_3,255.80566059756694,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_1,0.188925558191997,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_2,0.17516953184267114,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_3,0.19010160268820536,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_1,34475.27351281622,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_2,35850.134433654115,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_3,12563.969979364028,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_1,3.8037215382382996,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_2,4.892326521058931,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_3,5.028113671087159,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_H2OinMatrix_1,5.528919699784278e-4,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_H2OinMatrix_2,0.008158957208294817,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_H2OinMatrix_3,0.19510709348298927,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full1,0.18687451334789948,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full2,0.0019113289285714568,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full3,0.1900256944378781,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full4,0.009694142816282615,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full5,0.18548996025222753,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full6,0.009141665963929423,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full7,0.007759778419512999,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full8,0.009336979326367258,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full9,0.007135257163978092,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full10,0.009047753309718447,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full11,0.1879707848689874,NA
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T0_Metab_A,0.19582361242744506,T0
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T0_Metab_B,0.24584076184531026,T0
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T0_Metab_C,0.23707660878359518,T0
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_A,0.16850600329438878,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_B,0.0113582201492476,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_C,0.008006365267820779,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_NO3_Metab_A,0.3069925819145983,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_NO3_Metab_B,0.18779094561641563,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_NO3_Metab_C,0.018502099529251435,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_Urea_Metab_A,0.18824029875690748,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_Urea_Metab_B,0.24376433613848952,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T6_Urea_Metab_C,0.008057036509081208,T6
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_NH4_Metab_A,0.1906469807008265,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_NH4_Metab_B,0.2095508607878699,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_NH4_Metab_C,0.0038747791756379665,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_NO3_Metab_A,0.17653870460382187,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_NO3_Metab_B,0.14850835875512183,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_NO3_Metab_C,0.22367756131998348,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_Urea_Metab_A,0.2243709254898108,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_Urea_Metab_B,0.01004302588944915,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T12_Urea_Metab_C,0.16770184880464709,T12
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_NH4_Metab_A,0.005958763937600772,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_NH4_Metab_B,0.1852640482672246,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_NH4_Metab_C,0.18039189943454975,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_NO3_Metab_A,0.14617783952489358,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_NO3_Metab_B,0.1512784367614597,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_NO3_Metab_C,0.1624295296085546,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_Urea_Metab_A,0.24295267649715174,T24
"Glycine betaine 0(15N), 1(13C)",230831_Smp_G5_NFEX_T24_Urea_Metab_B,0.2412431780090278,T24
