filename,compound_name,bmised_area
230831_Poo_G5_NFEX-CatEx_Full10,"Glycine betaine 1(15N), 0(13C)",27132.464603884924
230831_Poo_G5_NFEX-CatEx_Full11,"Glycine betaine 1(15N), 0(13C)",16135.596973485824
230831_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 1(15N), 0(13C)",447387.4343615679
230831_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 1(15N), 0(13C)",28329.215063585565
230831_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 1(15N), 0(13C)",461431.5927204294
230831_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 1(15N), 0(13C)",3680606.533319182
230831_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 1(15N), 0(13C)",36198.53377805392
230831_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 1(15N), 0(13C)",5075602.490209225
230831_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 1(15N), 0(13C)",2664572.695204129
230831_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 1(15N), 0(13C)",30432.347281307884
230831_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 1(15N), 0(13C)",3906650.4783518934
230831_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 1(15N), 0(13C)",43536.321880577954
230831_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 1(15N), 0(13C)",48864.83457083546
230831_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 1(15N), 0(13C)",776447.3552966273
230831_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 1(15N), 0(13C)",10691125.132353408
230831_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 1(15N), 0(13C)",12927236.08435529
230831_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 1(15N), 0(13C)",5957043.308292217
230831_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 1(15N), 0(13C)",61616.11749936698
230831_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 1(15N), 0(13C)",34519.851953380065
230831_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 1(15N), 0(13C)",26246.265377959266
230831_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 1(15N), 0(13C)",19367.965063310818
230831_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 1(15N), 0(13C)",2635665.2435216024
230831_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 1(15N), 0(13C)",3000155.9795973906
230831_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 1(15N), 0(13C)",17579971.49410055
230831_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 1(15N), 0(13C)",17821248.55981991
230831_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 1(15N), 0(13C)",22552958.35836988
230831_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 1(15N), 0(13C)",35413.455573282925
230831_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 1(15N), 0(13C)",27164.449783958637
230831_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 1(15N), 0(13C)",28280.337384778173
230831_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 1(15N), 0(13C)",107259.53042214262
230831_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 1(15N), 0(13C)",8742493.052556327
230831_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 1(15N), 0(13C)",9463754.09727354
230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"Glycine betaine 1(15N), 0(13C)",251230.23891899458
230831_Smp_LabBlk_1_A,"Glycine betaine 1(15N), 0(13C)",10875.533433033612
230831_Smp_LabBlk_1_B,"Glycine betaine 1(15N), 0(13C)",NA
230831_Smp_LabBlk_1_C,"Glycine betaine 1(15N), 0(13C)",NA
230831_Smp_LabBlk_1_C_2ndInj,"Glycine betaine 1(15N), 0(13C)",168222.95379856045
230831_Smp_LabBlk_2_A,"Glycine betaine 1(15N), 0(13C)",23317.275312418315
230831_Smp_LabBlk_2_B,"Glycine betaine 1(15N), 0(13C)",90263.22862110195
230831_Smp_LabBlk_2_C,"Glycine betaine 1(15N), 0(13C)",169063.10106037324
230831_Smp_LabBlk_3_A,"Glycine betaine 1(15N), 0(13C)",28223.163467600076
230831_Smp_LabBlk_3_B,"Glycine betaine 1(15N), 0(13C)",17367.141752911095
230831_Smp_LabBlk_3_C,"Glycine betaine 1(15N), 0(13C)",28812.573197127927
230831_Smp_LabBlk_4_A,"Glycine betaine 1(15N), 0(13C)",58046.943334263364
230831_Smp_LabBlk_4_B,"Glycine betaine 1(15N), 0(13C)",98548.32087649609
230831_Smp_LabBlk_4_C,"Glycine betaine 1(15N), 0(13C)",NA
230831_Smp_LabBlk_5_A,"Glycine betaine 1(15N), 0(13C)",526307.3727075128
230831_Smp_LabBlk_5_B,"Glycine betaine 1(15N), 0(13C)",79045.24941832222
230831_Smp_LabBlk_5_C,"Glycine betaine 1(15N), 0(13C)",234766.00005178785
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 1(15N), 1(13C)",NA
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 1(15N), 1(13C)",NA
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 1(15N), 1(13C)",NA
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 1(15N), 1(13C)",45391.953610621866
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 1(15N), 1(13C)",NA
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 1(15N), 1(13C)",NA
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 1(15N), 1(13C)",886639320.5000765
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 1(15N), 1(13C)",1296782238.4176252
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 1(15N), 1(13C)",514087855.9142783
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 1(15N), 1(13C)",295302.1453868897
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 1(15N), 1(13C)",196340.68128495954
